??,?,?,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2010-11-01,222,101,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.8 ,1.0 ,1.6 ,1.4 ,1.2 ,1.3 ,0.7 ,1.0 ,1.2 ,1.3 ,1.1 ,1.6 ,1.1 ,1.0 ,1.0 ,0.6 ,0.6 
2010-11-01,222,102,0.5 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.7 ,0.7 ,0.6 ,0.5 ,0.4 ,0.5 ,0.7 ,0.4 ,0.3 ,0.3 ,0.5 ,0.7 ,0.7 ,0.7 ,0.7 ,0.4 
2010-11-01,222,201,0.2 ,0.3 ,0.2 ,0.4 ,0.5 ,0.6 ,0.6 ,0.7 ,0.4 ,0.4 ,0.7 ,0.4 ,0.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.3 ,0.6 ,0.5 ,0.5 ,0.7 ,0.5 ,0.5 
2010-11-01,222,202,0.5 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.6 ,0.4 ,0.5 ,0.2 ,0.5 ,0.4 ,0.4 ,0.5 ,0.4 ,0.2 ,0.3 ,0.2 ,0.4 ,0.5 ,0.7 ,0.5 
2010-11-01,222,301,0.4 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.2 ,0.5 ,0.8 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.2 ,0.3 ,0.4 ,0.5 ,0.7 ,0.9 ,1.3 ,1.0 ,1.1 ,0.8 
2010-11-01,222,302,0.2 ,0.2 ,0.3 ,0.3 ,0.2 ,0.3 ,0.2 ,0.3 ,0.3 ,0.5 ,0.5 ,0.3 ,0.2 ,0.2 ,0.2 ,0.1 ,0.5 ,0.4 ,0.3 ,0.4 ,0.4 ,0.5 ,0.3 ,0.3 
2010-11-01,222,401,0.5 ,0.4 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.4 ,0.5 ,0.5 ,0.5 ,0.4 ,0.7 ,0.7 ,0.5 ,0.3 ,0.4 ,0.3 ,0.4 ,0.6 ,1.6 ,1.1 ,1.0 ,0.8 
2010-11-01,222,402,0.4 ,0.6 ,0.6 ,0.4 ,0.4 ,0.5 ,0.4 ,0.4 ,0.4 ,0.4 ,0.5 ,0.4 ,0.5 ,0.3 ,0.4 ,0.3 ,0.4 ,0.3 ,0.4 ,0.3 ,0.6 ,0.6 ,0.5 ,0.5 
2010-11-01,222,501,0.5 ,0.4 ,0.4 ,0.3 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.1 ,0.3 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.4 ,0.2 ,0.2 ,0.2 
2010-11-01,222,502,0.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.3 ,0.6 ,0.7 ,0.5 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.6 ,0.8 ,0.6 ,0.3 
2010-11-01,222,601,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.2 ,0.7 ,0.4 ,0.5 ,0.4 ,0.4 ,0.9 ,0.6 ,0.4 ,0.4 ,0.4 ,0.3 ,0.5 ,0.9 ,0.6 ,0.7 ,0.7 ,0.7 ,0.3 
2010-11-01,222,602,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.7 ,0.7 ,0.7 ,1.0 ,0.7 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.6 ,0.8 ,0.7 ,0.3 ,0.3 
2010-11-01,222,701,0.7 ,0.3 ,0.3 ,0.2 ,0.3 ,0.3 ,0.9 ,1.1 ,0.4 ,0.3 ,0.2 ,0.3 ,0.4 ,0.2 ,0.2 ,0.2 ,0.3 ,0.4 ,1.1 ,1.0 ,1.0 ,0.7 ,0.6 ,0.5 
2010-11-01,222,702,0.7 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.5 ,0.7 ,0.9 ,1.1 ,0.7 ,0.7 ,0.6 ,0.9 ,0.9 ,0.6 ,0.4 ,0.4 ,0.8 ,1.0 ,1.0 ,0.8 ,0.6 ,0.9 
2010-11-01,222,801,0.3 ,0.4 ,0.4 ,0.3 ,0.4 ,0.4 ,0.4 ,0.7 ,1.1 ,2.0 ,0.5 ,0.3 ,0.3 ,0.4 ,0.6 ,0.6 ,0.8 ,0.7 ,1.6 ,1.1 ,1.1 ,1.3 ,1.3 ,0.7 
2010-11-01,222,802,0.7 ,0.6 ,0.3 ,0.3 ,0.4 ,0.4 ,0.3 ,0.7 ,1.0 ,1.2 ,0.6 ,1.3 ,1.1 ,0.5 ,0.6 ,0.3 ,0.4 ,0.5 ,0.8 ,0.8 ,1.1 ,0.5 ,0.5 ,0.5 
2010-11-01,222,901,0.6 ,0.3 ,0.2 ,0.3 ,0.4 ,0.3 ,0.4 ,0.7 ,1.0 ,0.6 ,0.3 ,0.3 ,0.3 ,0.4 ,0.5 ,0.3 ,0.5 ,0.5 ,0.4 ,0.5 ,0.5 ,0.6 ,0.8 ,0.5 
2010-11-01,222,902,0.5 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.3 ,0.4 ,0.7 ,0.7 ,0.5 ,0.5 ,0.8 ,0.5 ,0.4 ,0.5 ,0.4 ,0.4 ,0.3 ,0.2 ,0.5 ,0.9 ,0.7 ,0.6 
2010-11-01,222,1001,0.6 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.7 ,0.3 ,1.1 ,0.6 ,0.5 ,0.4 ,0.5 ,0.6 ,0.5 ,0.7 ,0.5 ,0.5 ,0.5 ,0.4 ,0.6 ,0.7 ,0.7 ,0.7 
2010-11-01,222,1002,0.3 ,0.2 ,0.1 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.1 ,0.2 ,0.1 ,0.2 ,0.3 ,0.2 ,0.2 
2010-11-01,222,1101,0.4 ,0.6 ,0.4 ,0.3 ,0.3 ,0.5 ,0.5 ,0.5 ,0.5 ,0.4 ,0.4 ,0.2 ,0.5 ,0.3 ,0.3 ,0.3 ,0.3 ,0.6 ,0.6 ,0.6 ,0.9 ,0.6 ,0.5 ,0.7 
2010-11-01,222,1102,0.3 ,0.3 ,0.3 ,0.2 ,0.3 ,0.2 ,0.6 ,0.3 ,0.6 ,0.5 ,0.6 ,0.3 ,0.4 ,0.2 ,0.3 ,0.2 ,0.7 ,0.6 ,0.5 ,0.8 ,0.7 ,0.7 ,0.8 ,0.3 
2010-11-01,222,1201,0.5 ,0.4 ,0.3 ,0.3 ,0.4 ,0.4 ,0.3 ,0.5 ,0.4 ,0.4 ,0.3 ,0.3 ,0.4 ,0.2 ,0.3 ,0.2 ,0.4 ,0.2 ,0.7 ,0.6 ,0.6 ,0.6 ,0.5 ,0.6 
2010-11-01,222,1202,0.7 ,0.8 ,0.7 ,0.4 ,0.4 ,0.4 ,0.4 ,0.7 ,1.0 ,0.8 ,0.8 ,0.6 ,0.7 ,0.6 ,0.9 ,0.7 ,0.7 ,0.5 ,0.7 ,0.8 ,0.6 ,0.7 ,0.9 ,0.7 
2010-11-01,222,1301,0.6 ,0.6 ,0.4 ,0.6 ,0.5 ,0.4 ,0.9 ,0.7 ,0.6 ,0.7 ,0.7 ,0.8 ,0.8 ,0.6 ,0.7 ,0.8 ,0.8 ,1.1 ,1.7 ,1.5 ,1.3 ,0.9 ,1.0 ,0.8 
2010-11-01,222,1302,0.5 ,0.2 ,0.2 ,0.3 ,0.2 ,0.6 ,0.5 ,0.6 ,0.8 ,0.6 ,0.4 ,0.2 ,0.8 ,0.7 ,0.8 ,0.4 ,0.3 ,0.5 ,0.9 ,1.1 ,0.8 ,0.9 ,0.7 ,0.5 
2010-11-01,222,1401,0.3 ,0.4 ,0.4 ,0.5 ,0.4 ,0.4 ,0.5 ,0.5 ,0.9 ,0.6 ,0.6 ,0.6 ,0.8 ,0.9 ,0.3 ,0.3 ,0.4 ,0.6 ,1.0 ,1.8 ,1.0 ,0.9 ,0.7 ,0.6 
2010-11-01,222,1402,0.4 ,0.3 ,0.4 ,0.2 ,0.3 ,0.2 ,0.4 ,0.4 ,0.3 ,0.3 ,0.2 ,0.3 ,0.3 ,0.4 ,0.3 ,0.6 ,1.5 ,1.0 ,1.0 ,0.6 ,0.7 ,0.8 ,0.7 ,0.5 
2010-11-01,222,1501,0.4 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.7 ,0.7 ,0.5 ,0.6 ,0.4 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.6 ,0.9 ,1.1 ,1.0 ,0.7 
2010-11-01,222,1502,0.8 ,0.6 ,0.5 ,0.2 ,0.3 ,0.3 ,0.2 ,0.8 ,0.7 ,0.5 ,0.6 ,0.8 ,0.4 ,0.3 ,0.2 ,0.3 ,0.4 ,0.4 ,1.1 ,0.4 ,0.8 ,1.0 ,1.0 ,0.8 
2010-11-01,222,1601,0.3 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.5 ,0.4 ,0.2 ,0.5 ,0.5 ,0.5 ,0.3 ,0.4 ,0.6 ,0.5 ,0.7 ,0.5 ,0.6 ,0.4 ,0.5 ,0.4 
2010-11-01,222,1602,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.4 ,0.3 ,0.4 ,0.8 ,0.5 ,0.6 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.2 ,0.5 ,0.9 ,0.9 ,0.6 ,0.7 ,0.6 
2010-11-01,222,1701,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.6 ,0.6 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.4 ,0.3 ,0.3 ,0.6 ,0.5 ,0.8 ,1.6 ,0.7 ,0.8 ,0.6 ,0.2 
2010-11-01,222,1702,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.7 ,0.4 ,0.4 ,0.7 ,0.4 ,1.2 ,0.4 ,0.4 ,0.5 ,0.4 ,0.5 ,0.7 ,0.9 ,0.7 ,0.8 ,0.5 
2010-11-01,222,1801,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.6 ,0.7 ,0.6 ,0.5 ,0.4 ,0.3 ,0.3 ,0.5 ,0.5 ,0.5 ,0.3 ,0.4 ,0.6 ,0.6 ,0.9 ,0.9 ,0.8 ,0.6 
